date,year,month,day,tavg,tmin,tmax,wdir,wspd,humidity,uvindex,sunrise,sunset,durationday,season,wdirn
2017-07-31,2017,07,31,17.1,12.2,22.2,SW,14.0,68.1,8,05:22:51,20:49:55,927,summer,234.0
2017-08-01,2017,08,01,16.8,12.3,21.0,SW,13.7,69.8,8,05:24:21,20:48:18,923,summer,231.0
2017-08-02,2017,08,02,16.6,14.3,18.6,SSW,17.9,83.0,4,05:25:51,20:46:38,920,summer,198.0
2017-08-03,2017,08,03,18.2,15.3,20.6,SW,24.7,75.7,8,05:27:22,20:44:57,917,summer,232.0
2017-08-04,2017,08,04,18.1,15.0,21.6,WSW,19.9,69.0,8,05:28:53,20:43:14,914,summer,251.0
2017-08-05,2017,08,05,16.6,13.9,20.1,WNW,10.8,64.0,6,05:30:25,20:41:30,911,summer,298.0
2017-08-06,2017,08,06,15.6,9.3,21.4,WSW,12.4,68.2,8,05:31:58,20:39:44,907,summer,239.0
2017-08-07,2017,08,07,16.3,12.4,21.4,SW,10.6,79.6,5,05:33:31,20:37:56,904,summer,235.0
2017-08-08,2017,08,08,14.8,12.9,15.3,WSW,12.172413793103448,82.0,3,05:35:04,20:36:07,901,summer,247.1851851851852
2017-08-09,2017,08,09,13.8,12.8,15.0,NNW,15.5,90.4,3,05:36:38,20:34:16,897,summer,329.0
2017-08-10,2017,08,10,15.7,11.9,19.8,NNE,14.7,70.4,8,05:38:11,20:32:24,894,summer,14.0
2017-08-11,2017,08,11,15.1,8.3,20.4,West,12.9,75.4,8,05:39:46,20:30:30,890,summer,260.0
2017-08-12,2017,08,12,18.4,16.5,21.6,West,15.8,69.8,7,05:41:20,20:28:36,887,summer,277.0
2017-08-13,2017,08,13,16.9,10.9,22.6,WSW,6.9,53.0,8,05:42:55,20:26:39,883,summer,247.1851851851852
